FileLocation : <URL> or <Server_Location> File data has to be related to vcf/gvcf/bam/fastq or corresponding index files.
#FileType : VCF,VCF INDEX,gVCF,gVCF INDEX,BAM,BAM INDEX,CRAM,CRAM INDEX,FASTQ,FASTQ F,FASTQ R <only these types are allowed>
#Description : Additional details to describe the entry.
#AssemblyType/ReferenceBuild : hg19/hg38/GRCh37/GRCh38 <only these 5 values are allowed> na is allowed only if the FileType belongs to FASTQ,FASTQ F,FASTQ R
#SampleLocalID: DNA number. Remark : In this release we support only 1 Unique sample local ID for an Individual<String>
#IndLocalID: Semi anonymous ID<String>
#SampleType:Research/Diagnostics <only these 2 types allowed>
#SequenceMachine:Provide test if you are not sure of the sequence machine <String>
#SeqKitModel:Provide testModel if you are not sure of the sequence kit model <check the model mentioned in UI>
#SequencingCoverage: <integer>
#SequenceType:WES/WGS/PANEL <only these 3 types allowed/not case-sensitive>
#ReadLength: <Numeric>
#DateOfSequencing:<YYYY/MM/DD> <Date_Validation>
#PanelTypeName : Panel name has to be provided if Sequence Type is Panel<only these types are allowed>
#IndividualGender:Male/Female/Unknown
#########################################################################################################################################################
# Optional Fields are listed below : 
#IndividualFName:First Name of Individual <char>
#IndividualLName:Last Name of Individual <char>
#IndividualBirthDate: <YYYY/MM/DD> <Date_Validation>
##########################################################################################################################################################
#Example Entry : TestPI,/datafiles/genomes/sample_name-12378.vcf.gz,vcf,sample description,hg19,deafness_lab2,christo_lab1,Research,test,testModel,40,WGS,39,2012/03/12,,,,Female,
###############################
#PIName,FileLocation,FileType,Description,AssemblyType,SampleLocalID,IndLocalID,SampleType,SequenceMachine,SeqKitModel,SequencingCoverage,SequenceType,ReadLength,DateOfSequencing,PanelTypeName,IndividualFName,IndividualLName,IndividualGender,IndividualBirthDate
#Please enter the values below in csv format
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00137.vcf.gz,SV_VCF,Genome public samples,hg38,HG00137,HG00137,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00138.vcf.gz,SV_VCF,Genome public samples,hg38,HG00138,HG00138,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00139.vcf.gz,SV_VCF,Genome public samples,hg38,HG00139,HG00139,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00141.vcf.gz,SV_VCF,Genome public samples,hg38,HG00141,HG00141,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00146.vcf.gz,SV_VCF,Genome public samples,hg38,HG00146,HG00146,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00148.vcf.gz,SV_VCF,Genome public samples,hg38,HG00148,HG00148,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00149.vcf.gz,SV_VCF,Genome public samples,hg38,HG00149,HG00149,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00152.vcf.gz,SV_VCF,Genome public samples,hg38,HG00152,HG00152,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00157.vcf.gz,SV_VCF,Genome public samples,hg38,HG00157,HG00157,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00158.vcf.gz,SV_VCF,Genome public samples,hg38,HG00158,HG00158,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
